@relation 'winequality-white-norm-weka.filters.unsupervised.attribute.Remove-R7,9-10-weka.filters.unsupervised.attribute.NumericToNominal-R12'

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide norm' numeric
@attribute 'total sulfur dioxide norm' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {3,4,5,6,7,8,9}

@data
6.5,0.39,0.23,5.4,0.051,25000,149000,0.9934,3.24,0.35,10,5
7,0.33,0.32,1.2,0.053,38000,138000,0.9906,3.13,0.28,11.2,6
7.3,0.24,0.39,17.95,0.057,45000,149000,0.9999,3.21,0.36,8.6,5
7.3,0.24,0.39,17.95,0.057,45000,149000,0.9999,3.21,0.36,8.6,5
6.7,0.23,0.39,2.5,0.172,63000,158000,0.9937,3.11,0.36,9.4,6
6.7,0.24,0.39,2.9,0.173,63000,157000,0.9937,3.1,0.34,9.4,6
7,0.31,0.26,7.4,0.069,28000,160000,0.9954,3.13,0.46,9.8,6
6.6,0.24,0.27,1.4,0.057,33000,152000,0.9934,3.22,0.56,9.5,6
6.7,0.23,0.26,1.4,0.06,33000,154000,0.9934,3.24,0.56,9.5,6
7.4,0.18,0.31,1.4,0.058,38000,167000,0.9931,3.16,0.53,10,7
6.2,0.45,0.26,4.4,0.063,63000,206000,0.994,3.27,0.52,9.8,4
6.2,0.46,0.25,4.4,0.066,62000,207000,0.9939,3.25,0.52,9.8,5
7,0.31,0.26,7.4,0.069,28000,160000,0.9954,3.13,0.46,9.8,6
6.9,0.19,0.35,5,0.067,32000,150000,0.995,3.36,0.48,9.8,5
7.2,0.19,0.31,1.6,0.062,31000,173000,0.9917,3.35,0.44,11.7,6
6.6,0.25,0.29,1.1,0.068,39000,124000,0.9914,3.34,0.58,11,7
6.2,0.16,0.33,1.1,0.057,21000,82000,0.991,3.32,0.46,10.9,7
6.4,0.18,0.35,1,0.045,39000,108000,0.9911,3.31,0.35,10.9,6
6.8,0.2,0.59,0.9,0.147,38000,132000,0.993,3.05,0.38,9.1,6
6.9,0.25,0.35,1.3,0.039,29000,191000,0.9908,3.13,0.52,11,6
7.2,0.21,0.34,11.9,0.043,37000,213000,0.9962,3.09,0.5,9.6,6
6,0.19,0.26,12.4,0.048,50000,147000,0.9972,3.3,0.36,8.9,6
6.6,0.38,0.15,4.6,0.044,25000,78000,0.9931,3.11,0.38,10.2,6
7.4,0.2,0.36,1.2,0.038,44000,111000,0.9926,3.36,0.34,9.9,6
6.8,0.22,0.24,4.9,0.092,30000,123000,0.9951,3.03,0.46,8.6,6
6,0.19,0.26,12.4,0.048,50000,147000,0.9972,3.3,0.36,8.9,6
7,0.47,0.07,1.1,0.035,17000,151000,0.991,3.02,0.34,10.5,5
6.6,0.38,0.15,4.6,0.044,25000,78000,0.9931,3.11,0.38,10.2,6
7.2,0.24,0.27,1.4,0.038,31000,122000,0.9927,3.15,0.46,10.3,6
6.2,0.35,0.03,1.2,0.064,29000,120000,0.9934,3.22,0.54,9.1,5
6.4,0.26,0.24,6.4,0.04,27000,124000,0.9903,3.22,0.49,12.6,7
6.7,0.25,0.13,1.2,0.041,81000,174000,0.992,3.14,0.42,9.8,5
6.7,0.23,0.31,2.1,0.046,30000,96000,0.9926,3.33,0.64,10.7,8
7.4,0.24,0.29,10.1,0.05,21000,105000,0.9962,3.13,0.35,9.5,5
6.2,0.27,0.43,7.8,0.056,48000,244000,0.9956,3.1,0.51,9,6
6.8,0.3,0.23,4.6,0.061,50500,238500,0.9958,3.32,0.6,9.5,5
6,0.27,0.28,4.8,0.063,31000,201000,0.9964,3.69,0.71,10,5
8.6,0.23,0.46,1,0.054,9000,72000,0.9941,2.95,0.49,9.1,6
6.7,0.23,0.31,2.1,0.046,30000,96000,0.9926,3.33,0.64,10.7,8
7.4,0.24,0.29,10.1,0.05,21000,105000,0.9962,3.13,0.35,9.5,5
7.1,0.18,0.36,1.4,0.043,31000,87000,0.9898,3.26,0.37,12.7,7
7,0.32,0.34,1.3,0.042,20000,69000,0.9912,3.31,0.65,12,7
7.4,0.18,0.3,8.8,0.064,26000,103000,0.9961,2.94,0.56,9.3,5
6.7,0.54,0.28,5.4,0.06,21000,105000,0.9949,3.27,0.37,9,5
6.8,0.22,0.31,1.4,0.053,34000,114000,0.9929,3.39,0.77,10.6,6
7.1,0.2,0.34,16,0.05,51000,166000,0.9985,3.21,0.6,9.2,6
7.1,0.34,0.2,6.1,0.063,47000,164000,0.9946,3.17,0.42,10,5
7.3,0.22,0.3,8.2,0.047,42000,207000,0.9966,3.33,0.46,9.5,6
7.1,0.43,0.61,11.8,0.045,54000,155000,0.9974,3.11,0.45,8.7,5
7.1,0.44,0.62,11.8,0.044,52000,152000,0.9975,3.12,0.46,8.7,6
7.2,0.39,0.63,11,0.044,55000,156000,0.9974,3.09,0.44,8.7,6
6.8,0.25,0.31,13.3,0.05,69000,202000,0.9972,3.22,0.48,9.7,6
7.1,0.43,0.61,11.8,0.045,54000,155000,0.9974,3.11,0.45,8.7,5
7.1,0.44,0.62,11.8,0.044,52000,152000,0.9975,3.12,0.46,8.7,6
7.2,0.39,0.63,11,0.044,55000,156000,0.9974,3.09,0.44,8.7,6
6.1,0.27,0.43,7.5,0.049,65000,243000,0.9957,3.12,0.47,9,5
6.9,0.24,0.33,1.7,0.035,47000,136000,0.99,3.26,0.4,12.6,7
6.9,0.21,0.33,1.8,0.034,48000,136000,0.9899,3.25,0.41,12.6,7
7.5,0.17,0.32,1.7,0.04,51000,148000,0.9916,3.21,0.44,11.5,7
7.1,0.26,0.29,12.4,0.044,62000,240000,0.9969,3.04,0.42,9.2,6
6,0.34,0.66,15.9,0.046,26000,164000,0.9979,3.14,0.5,8.8,6
8.6,0.265,0.36,1.2,0.034,15000,80000,0.9913,2.95,0.36,11.4,7
9.8,0.36,0.46,10.5,0.038,4000,83000,0.9956,2.89,0.3,10.1,4
6,0.34,0.66,15.9,0.046,26000,164000,0.9979,3.14,0.5,8.8,6
7.4,0.25,0.37,13.5,0.06,52000,192000,0.9975,3,0.44,9.1,5
7.1,0.12,0.32,9.6,0.054,64000,162000,0.9962,3.4,0.41,9.4,5
6,0.21,0.24,12.1,0.05,55000,164000,0.997,3.34,0.39,9.4,5
7.5,0.305,0.4,18.9,0.059,44000,170000,1,2.99,0.46,9,5
7.4,0.25,0.37,13.5,0.06,52000,192000,0.9975,3,0.44,9.1,5
7.3,0.13,0.32,14.4,0.051,34000,109000,0.9974,3.2,0.35,9.2,6
7.1,0.12,0.32,9.6,0.054,64000,162000,0.9962,3.4,0.41,9.4,5
7.1,0.23,0.35,16.5,0.04,60000,171000,0.999,3.16,0.59,9.1,6
7.1,0.23,0.35,16.5,0.04,60000,171000,0.999,3.16,0.59,9.1,6
6.9,0.33,0.28,1.3,0.051,37000,187000,0.9927,3.27,0.6,10.3,5
6.5,0.17,0.54,8.5,0.082,64000,163000,0.9959,2.89,0.39,8.8,6
7.2,0.27,0.46,18.75,0.052,45000,255000,1,3.04,0.52,8.9,5
7.2,0.31,0.5,13.3,0.056,68000,195000,0.9982,3.01,0.47,9.2,5
6.7,0.41,0.34,9.2,0.049,29000,150000,0.9968,3.22,0.51,9.1,5
6.7,0.41,0.34,9.2,0.049,29000,150000,0.9968,3.22,0.51,9.1,5
5.5,0.485,0,1.5,0.065,8000,103000,0.994,3.63,0.4,9.7,4
6,0.31,0.24,3.3,0.041,25000,143000,0.9914,3.31,0.44,11.3,6
7,0.14,0.4,1.7,0.035,16000,85000,0.9911,3.19,0.42,11.8,6
7.2,0.31,0.5,13.3,0.056,68000,195000,0.9982,3.01,0.47,9.2,5
7.3,0.32,0.48,13.3,0.06,57000,196000,0.9982,3.04,0.5,9.2,5
5.9,0.36,0.04,5.7,0.046,21000,87000,0.9934,3.22,0.51,10.2,5
7.8,0.24,0.32,12.2,0.054,42000,138000,0.9984,3.01,0.54,8.8,5
7.4,0.16,0.31,6.85,0.059,31000,131000,0.9952,3.29,0.34,9.7,5
6.9,0.19,0.28,5,0.058,14000,146000,0.9952,3.29,0.36,9.1,6
6.4,0.13,0.47,1.6,0.092,40000,158000,0.9928,3.21,0.36,9.8,6
6.7,0.19,0.36,1.1,0.026,63000,143000,0.9912,3.27,0.48,11,6
7.4,0.39,0.23,7,0.033,29000,126000,0.994,3.14,0.42,10.5,5
6.5,0.24,0.32,7.6,0.038,48000,203000,0.9958,3.45,0.54,9.7,7
6.1,0.3,0.56,2.8,0.044,47000,179000,0.9924,3.3,0.57,10.9,7
6.1,0.3,0.56,2.7,0.046,46000,184000,0.9924,3.31,0.57,10.9,6
5.7,0.26,0.25,10.4,0.02,7000,57000,0.994,3.39,0.37,10.6,5
6.5,0.24,0.32,7.6,0.038,48000,203000,0.9958,3.45,0.54,9.7,7
6.5,0.425,0.4,13.1,0.038,59000,241000,0.9979,3.23,0.57,9,5
6.6,0.24,0.27,15.8,0.035,46000,188000,0.9982,3.24,0.51,9.2,5
6.8,0.27,0.22,8.1,0.034,55000,203000,0.9961,3.19,0.52,8.9,5
6.7,0.27,0.31,15.7,0.036,44000,179000,0.9979,3.26,0.56,9.6,5
8.2,0.23,0.4,1.2,0.027,36000,121000,0.992,3.12,0.38,10.7,6
7.1,0.37,0.67,10.5,0.045,49000,155000,0.9975,3.16,0.44,8.7,5
6.8,0.19,0.36,1.9,0.035,30000,96000,0.9917,3.15,0.54,10.8,7
8.1,0.28,0.39,1.9,0.029,18000,79000,0.9923,3.23,0.52,11.8,6
6.3,0.31,0.34,2.2,0.045,20000,77000,0.9927,3.3,0.43,10.2,5
7.1,0.37,0.67,10.5,0.045,49000,155000,0.9975,3.16,0.44,8.7,5
7.9,0.21,0.4,1.2,0.039,38000,107000,0.992,3.21,0.54,10.8,6
8.5,0.21,0.41,4.3,0.036,24000,99000,0.9947,3.18,0.53,9.7,6
8.1,0.2,0.4,2,0.037,19000,87000,0.9921,3.12,0.54,11.2,6
6.3,0.255,0.37,1.1,0.04,37000,114000,0.9905,3,0.39,10.9,6
5.6,0.16,0.27,1.4,0.044,53000,168000,0.9918,3.28,0.37,10.1,6
6.4,0.595,0.14,5.2,0.058,15000,97000,0.9951,3.38,0.36,9,4
6.3,0.34,0.33,4.6,0.034,19000,80000,0.9917,3.38,0.58,12,7
6.9,0.25,0.3,4.1,0.054,23000,116000,0.994,2.99,0.38,9.4,6
7.9,0.22,0.38,8,0.043,46000,152000,0.9934,3.12,0.32,11.5,7
7.6,0.18,0.46,10.2,0.055,58000,135000,0.9968,3.14,0.43,9.9,6
6.9,0.25,0.3,4.1,0.054,23000,116000,0.994,2.99,0.38,9.4,6
7.2,0.18,0.41,1.2,0.048,41000,97000,0.9919,3.14,0.45,10.4,5
8.2,0.23,0.4,7.5,0.049,12000,76000,0.9966,3.06,0.84,9.7,6
7.4,0.24,0.42,14,0.066,48000,198000,0.9979,2.89,0.42,8.9,6
7.4,0.24,0.42,14,0.066,48000,198000,0.9979,2.89,0.42,8.9,6
6.1,0.32,0.24,1.5,0.036,38000,124000,0.9898,3.29,0.42,12.4,7
5.2,0.44,0.04,1.4,0.036,43000,119000,0.9894,3.36,0.33,12.1,8
5.2,0.44,0.04,1.4,0.036,43000,119000,0.9894,3.36,0.33,12.1,8
6.1,0.32,0.24,1.5,0.036,38000,124000,0.9898,3.29,0.42,12.4,7
6.4,0.22,0.56,14.5,0.055,27000,159000,0.998,2.98,0.4,9.1,5
6.3,0.36,0.3,4.8,0.049,14000,85000,0.9932,3.28,0.39,10.6,5
7.4,0.24,0.42,14,0.066,48000,198000,0.9979,2.89,0.42,8.9,6
6.7,0.24,0.35,13.1,0.05,64000,205000,0.997,3.15,0.5,9.5,5
7,0.23,0.36,13,0.051,72000,177000,0.9972,3.16,0.49,9.8,5
8.4,0.27,0.46,8.7,0.048,39000,197000,0.9974,3.14,0.59,9.6,6
6.7,0.46,0.18,2.4,0.034,25000,98000,0.9896,3.08,0.44,12.6,7
7.5,0.29,0.31,8.95,0.055,20000,151000,0.9968,3.08,0.54,9.3,5
9.8,0.42,0.48,9.85,0.034,5000,110000,0.9958,2.87,0.29,10,5
7.1,0.3,0.46,1.5,0.066,29000,133000,0.9906,3.12,0.54,12.7,6
7.9,0.19,0.45,1.5,0.045,17000,96000,0.9917,3.13,0.39,11,6
7.6,0.48,0.37,0.8,0.037,4000,100000,0.9902,3.03,0.39,11.4,4
6.3,0.22,0.43,4.55,0.038,31000,130000,0.9918,3.35,0.33,11.5,7
7.5,0.27,0.31,17.7,0.051,33000,173000,0.999,3.09,0.64,10.2,5
6.9,0.23,0.4,7.5,0.04,50000,151000,0.9927,3.11,0.27,11.4,6
7.2,0.32,0.47,5.1,0.044,19000,65000,0.991,3.03,0.41,12.6,4
5.9,0.23,0.3,12.9,0.054,57000,170000,0.9972,3.28,0.39,9.4,5
6,0.67,0.07,1.2,0.06,9000,108000,0.9931,3.11,0.35,8.7,4
6.4,0.25,0.32,5.5,0.049,41000,176000,0.995,3.19,0.68,9.2,6
6.4,0.33,0.31,5.5,0.048,42000,173000,0.9951,3.19,0.66,9.3,6
7.1,0.34,0.15,1.2,0.053,61000,183000,0.9936,3.09,0.43,9.2,5
6.8,0.28,0.4,22,0.048,48000,167000,1.001,2.93,0.5,8.7,5
6.9,0.27,0.4,14,0.05,64000,227000,0.9979,3.18,0.58,9.6,6
6.8,0.26,0.56,11.9,0.043,64000,226000,0.997,3.02,0.63,9.3,5
6.8,0.29,0.56,11.9,0.043,66000,230000,0.9972,3.02,0.63,9.3,5
6.7,0.24,0.41,9.4,0.04,49000,166000,0.9954,3.12,0.61,9.9,6
5.9,0.3,0.23,4.2,0.038,42000,119000,0.9924,3.15,0.5,11,5
6.8,0.53,0.35,3.8,0.034,26000,109000,0.9906,3.26,0.57,12.7,8
6.5,0.28,0.28,8.5,0.047,54000,210000,0.9962,3.09,0.54,8.9,4
6.6,0.28,0.28,8.5,0.052,55000,211000,0.9962,3.09,0.55,8.9,6
6.8,0.28,0.4,22,0.048,48000,167000,1.001,2.93,0.5,8.7,5
6.8,0.28,0.36,8,0.045,28000,123000,0.9928,3.02,0.37,11.4,6
6.6,0.15,0.34,5.1,0.055,34000,125000,0.9942,3.36,0.42,9.6,5
6.4,0.29,0.44,3.6,0.2,75000,181000,0.9942,3.02,0.41,9.1,5
6.4,0.3,0.45,3.5,0.197,76000,180000,0.9942,3.02,0.39,9.1,6
6.4,0.29,0.44,3.6,0.197,75000,183000,0.9942,3.01,0.38,9.1,5
6.8,0.26,0.24,7.8,0.052,54000,214000,0.9961,3.13,0.47,8.9,5
7.1,0.32,0.24,13.1,0.05,52000,204000,0.998,3.1,0.49,8.8,5
6.8,0.26,0.24,7.8,0.052,54000,214000,0.9961,3.13,0.47,8.9,5
6.8,0.27,0.26,16.1,0.049,55000,196000,0.9984,3.15,0.5,9.3,5
7.1,0.32,0.24,13.1,0.05,52000,204000,0.998,3.1,0.49,8.8,5
6.9,0.54,0.32,13.2,0.05,53000,236000,0.9973,3.2,0.5,9.6,5
6.8,0.26,0.34,13.9,0.034,39000,134000,0.9949,3.33,0.53,12,6
5.8,0.28,0.35,2.3,0.053,36000,114000,0.9924,3.28,0.5,10.2,4
6.4,0.21,0.5,11.6,0.042,45000,153000,0.9972,3.15,0.43,8.8,5
7,0.16,0.32,8.3,0.045,38000,126000,0.9958,3.21,0.34,9.2,5
10.2,0.44,0.88,6.2,0.049,20000,124000,0.9968,2.99,0.51,9.9,4
6.8,0.57,0.29,2.2,0.04,15000,77000,0.9938,3.32,0.74,10.2,5
6.1,0.4,0.31,0.9,0.048,23000,170000,0.993,3.22,0.77,9.5,6
5.6,0.245,0.25,9.7,0.032,12000,68000,0.994,3.31,0.34,10.5,5
6.8,0.18,0.38,1.4,0.038,35000,111000,0.9918,3.32,0.59,11.2,7
7,0.16,0.32,8.3,0.045,38000,126000,0.9958,3.21,0.34,9.2,5
6.7,0.13,0.29,5.3,0.051,31000,122000,0.9944,3.44,0.37,9.7,6
6.2,0.25,0.25,1.4,0.03,35000,105000,0.9912,3.3,0.44,11.1,7
5.8,0.26,0.24,9.2,0.044,55000,152000,0.9961,3.31,0.38,9.4,5
7.5,0.27,0.36,7,0.036,45000,164000,0.9939,3.03,0.33,11,5
5.8,0.26,0.24,9.2,0.044,55000,152000,0.9961,3.31,0.38,9.4,5
5.7,0.28,0.24,17.5,0.044,60000,167000,0.9989,3.31,0.44,9.4,5
7.5,0.23,0.36,7,0.036,43000,161000,0.9938,3.04,0.32,11,5
7.5,0.27,0.36,7,0.036,45000,164000,0.9939,3.03,0.33,11,5
7.2,0.685,0.21,9.5,0.07,33000,172000,0.9971,3,0.55,9.1,6
6.2,0.25,0.25,1.4,0.03,35000,105000,0.9912,3.3,0.44,11.1,7
6.5,0.19,0.3,0.8,0.043,33000,144000,0.9936,3.42,0.39,9.1,6
6.3,0.495,0.22,1.8,0.046,31000,140000,0.9929,3.39,0.54,10.4,6
7.1,0.24,0.41,17.8,0.046,39000,145000,0.9998,3.32,0.39,8.7,5
6.4,0.17,0.32,2.4,0.048,41000,200000,0.9938,3.5,0.5,9.7,6
7.1,0.25,0.32,10.3,0.041,66000,272000,0.9969,3.17,0.52,9.1,6
6.4,0.17,0.32,2.4,0.048,41000,200000,0.9938,3.5,0.5,9.7,6
7.1,0.24,0.41,17.8,0.046,39000,145000,0.9998,3.32,0.39,8.7,5
6.8,0.64,0.08,9.7,0.062,26000,142000,0.9972,3.37,0.46,8.9,4
8.3,0.28,0.4,7.8,0.041,38000,194000,0.9976,3.34,0.51,9.6,6
8.2,0.27,0.39,7.8,0.039,49000,208000,0.9976,3.31,0.51,9.5,6
7.2,0.23,0.38,14.3,0.058,55000,194000,0.9979,3.09,0.44,9,6
7.2,0.23,0.38,14.3,0.058,55000,194000,0.9979,3.09,0.44,9,6
7.2,0.23,0.38,14.3,0.058,55000,194000,0.9979,3.09,0.44,9,6
7.2,0.23,0.38,14.3,0.058,55000,194000,0.9979,3.09,0.44,9,6
6.8,0.52,0.32,13.2,0.044,54000,221000,0.9972,3.27,0.5,9.6,6
7,0.26,0.59,1.4,0.037,40000,120000,0.9918,3.34,0.41,11.1,7
6.2,0.25,0.21,15.55,0.039,28000,159000,0.9982,3.48,0.64,9.6,6
7.3,0.32,0.23,13.7,0.05,49000,197000,0.9985,3.2,0.46,8.7,5
7.7,0.31,0.26,7.8,0.031,23000,90000,0.9944,3.13,0.5,10.4,5
7.1,0.21,0.37,2.4,0.026,23000,100000,0.9903,3.15,0.38,11.4,7
6.8,0.24,0.34,2.7,0.047,64500,218500,0.9934,3.3,0.58,9.7,6
6.9,0.4,0.56,11.2,0.043,40000,142000,0.9975,3.14,0.46,8.7,5
6.1,0.18,0.36,2,0.038,20000,249500,0.9923,3.37,0.79,11.3,6
6.8,0.21,0.27,2.1,0.03,26000,139000,0.99,3.16,0.61,12.6,7
5.8,0.2,0.27,1.4,0.031,12000,77000,0.9905,3.25,0.36,10.9,7
5.6,0.19,0.26,1.4,0.03,12000,76000,0.9905,3.25,0.37,10.9,7
6.1,0.41,0.14,10.4,0.037,18000,119000,0.996,3.38,0.45,10,5
5.9,0.21,0.28,4.6,0.053,40000,199000,0.9964,3.72,0.7,10,4
8.5,0.26,0.21,16.2,0.074,41000,197000,0.998,3.02,0.5,9.8,3
6.9,0.4,0.56,11.2,0.043,40000,142000,0.9975,3.14,0.46,8.7,5
5.8,0.24,0.44,3.5,0.029,5000,109000,0.9913,3.53,0.43,11.7,3
5.8,0.24,0.39,1.5,0.054,37000,158000,0.9932,3.21,0.52,9.3,6
6.7,0.26,0.39,1.1,0.04,45000,147000,0.9935,3.32,0.58,9.6,8
6.3,0.35,0.3,5.7,0.035,8000,97000,0.9927,3.27,0.41,11,7
6.3,0.35,0.3,5.7,0.035,8000,97000,0.9927,3.27,0.41,11,7
6.4,0.23,0.39,1.8,0.032,23000,118000,0.9912,3.32,0.5,11.8,6
5.8,0.36,0.38,0.9,0.037,3000,75000,0.9904,3.28,0.34,11.4,4
6.9,0.115,0.35,5.4,0.048,36000,108000,0.9939,3.32,0.42,10.2,6
6.9,0.29,0.4,19.45,0.043,36000,156000,0.9996,2.93,0.47,8.9,5
6.9,0.28,0.4,8.2,0.036,15000,95000,0.9944,3.17,0.33,10.2,5
7.2,0.29,0.4,13.6,0.045,66000,231000,0.9977,3.08,0.59,9.6,6
6.2,0.24,0.35,1.2,0.038,22000,167000,0.9912,3.1,0.48,10.6,6
6.9,0.29,0.4,19.45,0.043,36000,156000,0.9996,2.93,0.47,8.9,5
6.9,0.32,0.26,8.3,0.053,32000,180000,0.9965,3.25,0.51,9.2,6
5.3,0.58,0.07,6.9,0.043,34000,149000,0.9944,3.34,0.57,9.7,5
5.3,0.585,0.07,7.1,0.044,34000,145000,0.9945,3.34,0.57,9.7,6
5.4,0.59,0.07,7,0.045,36000,147000,0.9944,3.34,0.57,9.7,6
6.9,0.32,0.26,8.3,0.053,32000,180000,0.9965,3.25,0.51,9.2,6
5.2,0.6,0.07,7,0.044,33000,147000,0.9944,3.33,0.58,9.7,5
5.8,0.25,0.26,13.1,0.051,44000,148000,0.9972,3.29,0.38,9.3,5
6.6,0.58,0.3,5.1,0.057,30000,123000,0.9949,3.24,0.38,9,5
7,0.29,0.54,10.7,0.046,59000,234000,0.9966,3.05,0.61,9.5,5
6.6,0.19,0.41,8.9,0.046,51000,169000,0.9954,3.14,0.57,9.8,6
6.7,0.2,0.41,9.1,0.044,50000,166000,0.9954,3.14,0.58,9.8,6
7.7,0.26,0.4,1.1,0.042,9000,60000,0.9915,2.89,0.5,10.6,5
6.8,0.32,0.34,1.2,0.044,14000,67000,0.9919,3.05,0.47,10.6,4
7,0.3,0.49,4.7,0.036,17000,105000,0.9916,3.26,0.68,12.4,7
7,0.24,0.36,2.8,0.034,22000,112000,0.99,3.19,0.38,12.6,8
6.1,0.31,0.58,5,0.039,36000,114000,0.9909,3.3,0.6,12.3,8
6.8,0.44,0.37,5.1,0.047,46000,201000,0.9938,3.08,0.65,10.5,4
6.7,0.34,0.3,15.6,0.054,51000,196000,0.9982,3.19,0.49,9.3,5
7.1,0.35,0.24,15.4,0.055,46000,198000,0.9988,3.12,0.49,8.8,5
7.3,0.32,0.25,7.2,0.056,47000,180000,0.9961,3.08,0.47,8.8,5
6.5,0.28,0.33,15.7,0.053,51000,190000,0.9978,3.22,0.51,9.7,6
7.2,0.23,0.39,14.2,0.058,49000,192000,0.9979,2.98,0.48,9,7
7.2,0.23,0.39,14.2,0.058,49000,192000,0.9979,2.98,0.48,9,7
7.2,0.23,0.39,14.2,0.058,49000,192000,0.9979,2.98,0.48,9,7
7.2,0.23,0.39,14.2,0.058,49000,192000,0.9979,2.98,0.48,9,7
5.9,0.15,0.31,5.8,0.041,53000,155000,0.9945,3.52,0.46,10.5,6
7.4,0.28,0.42,19.8,0.066,53000,195000,1,2.96,0.44,9.1,5
6.2,0.28,0.22,7.3,0.041,26000,157000,0.9957,3.44,0.64,9.8,7
9.1,0.59,0.38,1.6,0.066,34000,182000,0.9968,3.23,0.38,8.5,3
6.3,0.33,0.27,1.2,0.046,34000,175000,0.9934,3.37,0.54,9.4,6
8.3,0.39,0.7,10.6,0.045,33000,169000,0.9976,3.09,0.57,9.4,5
7.2,0.19,0.46,3.8,0.041,82000,187000,0.9932,3.19,0.6,11.2,7
7.5,0.17,0.44,11.3,0.046,65000,146000,0.997,3.17,0.45,10,6
6.7,0.17,0.5,2.1,0.043,27000,122000,0.9923,3.15,0.45,10.3,6
6.1,0.41,0,1.6,0.063,36000,87000,0.9914,3.27,0.67,10.8,6
8.3,0.2,0.35,0.9,0.05,12000,74000,0.992,3.13,0.38,10.5,6
6.1,0.41,0,1.6,0.063,36000,87000,0.9914,3.27,0.67,10.8,6
6,0.29,0.21,1.3,0.055,42000,168000,0.9914,3.32,0.43,11.1,6
7.3,0.41,0.24,6.8,0.057,41000,163000,0.9949,3.2,0.41,9.9,6
